City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kumbo,6.2,10.67,61.14,91,13,3.13,CM,1603825117
Arrondissement de Saint-Denis,48.92,2.33,55.4,93,90,18.34,FR,1603825121
Kyren,51.68,102.14,32.81,85,7,3.62,RU,1603825124
Oktyabr'skoye,43.06,44.74,51.8,93,9,8.95,RU,1603825127
Koungou,-12.73,45.2,78.8,78,0,4.7,YT,1603825130
Khani,41.96,42.96,71.6,37,0,23.04,GE,1603824926
Kamenka,51.32,42.77,37.0,71,100,11.52,RU,1603824931
Saint-Augustin,51.23,-58.65,36.16,75,52,1.72,CA,1603824935
Tual,-5.67,132.75,83.1,74,100,9.08,ID,1603825143
Russkiy Kameshkir,52.86,46.09,32.23,90,94,6.17,RU,1603825146
Bandarbeyla,9.49,50.81,76.19,83,19,10.83,SO,1603824922
Sørkjosen,69.8,20.93,28.4,79,0,13.87,NO,1603825152
Seoul,37.57,126.98,57.2,93,90,4.03,KR,1603824655
Yulara,-25.24,130.99,62.6,29,0,6.93,AU,1603825116
Pombas,17.15,-25.02,80.6,74,75,24.16,CV,1603825073
Oriximiná,-1.77,-55.87,92.89,48,100,3.58,BR,1603824966
Esperance,-33.87,121.9,53.6,100,75,5.82,AU,1603824909
Mattru,7.62,-11.83,77.45,93,100,3.11,SL,1603825170
Harper,4.38,-7.72,78.03,88,98,7.61,LR,1603825061
Loreto,22.27,-101.97,77.61,25,99,11.63,MX,1603825177
Olinda,-8.01,-34.86,84.2,66,40,13.87,BR,1603825180
Tromsø,69.65,18.96,32.0,86,0,10.29,NO,1603825183
Kalmar,56.66,16.36,51.01,93,58,8.05,SE,1603825186
Trairi,-3.28,-39.27,83.01,67,74,11.92,BR,1603825189
Lyngseidet,69.58,20.22,32.0,79,0,13.87,NO,1603825192
Jiuquan,39.74,98.52,39.78,68,94,5.61,CN,1603825073
Dom Pedro,-4.48,-44.45,93.38,45,48,3.18,BR,1603825199
Malindi,-3.22,40.12,78.57,84,0,11.68,KE,1603825202
Burnie,-41.07,145.92,52.0,69,100,5.01,AU,1603824701
Mmabatho,-25.85,25.63,75.2,36,0,6.93,ZA,1603825209
Praia,14.92,-23.51,86.0,51,90,9.17,CV,1603825206
Allāpalli,19.42,80.07,69.71,74,10,2.62,IN,1603825216
Corrente,-3.74,-43.34,91.31,44,100,4.47,BR,1603825219
Caborca,30.58,-111.1,59.0,19,0,3.0,MX,1603825222
Walvis Bay,-22.96,14.51,60.8,72,0,5.82,NA,1603825111
Larsnes,62.2,5.58,46.0,93,75,5.82,NO,1603825229
Inverness,57.48,-4.22,46.99,93,75,3.36,GB,1603825232
Ojinaga,29.57,-104.42,41.0,65,90,10.29,MX,1603825235
Örnsköldsvik,63.29,18.72,44.6,100,90,9.17,SE,1603825238
Tandaltī,13.02,31.87,92.77,22,0,8.88,SD,1603825241
San Francisco,37.77,-122.42,75.2,19,20,3.36,US,1603825024
Half Moon Bay,37.46,-122.43,71.6,24,5,10.29,US,1603824891
Garoowe,8.41,48.48,76.14,57,3,14.81,SO,1603825250
Pocatello,42.87,-112.45,41.0,34,20,9.17,US,1603825253
Tawang Town,27.58,91.87,41.52,50,0,6.02,IN,1603825084
Cochrane,51.18,-114.47,55.4,46,40,21.92,CA,1603825048
Ambilobe,-13.2,49.05,73.94,84,2,2.44,MG,1603824849
Uruçuí,-7.23,-44.56,90.3,47,100,4.5,BR,1603825266
Bethel,41.37,-73.41,57.2,50,1,6.93,US,1603824918
Tila,17.4,-92.48,84.2,62,75,5.17,MX,1603825272
Tignère,7.37,12.65,67.66,66,0,1.32,CM,1603825275
Simbahan,6.3,120.58,83.25,75,100,7.47,PH,1603824912
Garden City,42.33,-83.33,43.0,86,90,6.93,US,1603825282
Santa Cruz de la Sierra,-17.8,-63.17,87.8,48,20,8.05,BO,1603825094
General Bravo,25.8,-99.17,60.82,44,71,19.77,MX,1603825288
Estelle,29.85,-90.11,82.4,88,90,8.05,US,1603825291
Kupang,-10.17,123.58,79.7,79,31,4.97,ID,1603825294
Smoky Lake,54.12,-112.47,45.0,86,100,7.0,CA,1603825297
Zhangye,38.93,100.45,38.1,74,43,4.45,CN,1603825300
Santa Cruz,30.42,-9.6,66.2,77,0,10.29,MA,1603825304
Marand,38.43,45.77,53.6,40,84,4.7,IR,1603825307
Silvassa,20.27,73.02,75.38,59,0,3.44,IN,1603825310
Beya,53.05,90.91,36.72,76,96,4.7,RU,1603825313
Ruska Poliana,49.42,31.92,52.05,69,0,8.9,UA,1603825317
Riviere-au-Renard,49.0,-64.4,35.6,69,75,11.41,CA,1603825320
Esmeralda,21.85,-78.12,87.8,66,40,13.87,CU,1603825323
Dawson Creek,55.77,-120.24,50.0,65,40,19.46,CA,1603825241
Wilmington,34.23,-77.94,78.8,54,20,3.36,US,1603825225
Salinópolis,-0.61,-47.36,84.97,66,100,11.41,BR,1603825121
Caravelas,-17.71,-39.25,79.75,77,88,7.45,BR,1603824789
Port Blair,11.67,92.75,79.68,77,42,2.91,IN,1603824963
Tonota,-21.48,27.48,77.0,27,0,5.82,BW,1603825342
Dolisie,-4.2,12.67,73.89,92,92,7.87,CG,1603825345
San Jeronimito,17.55,-101.33,93.2,59,75,9.17,MX,1603825348
Bantry,51.68,-9.45,48.2,76,20,18.34,IE,1603825351
Port Hawkesbury,45.62,-61.35,45.0,87,90,14.99,CA,1603824955
Kiama,-34.68,150.87,57.0,95,81,1.99,AU,1603825357
Srednekolymsk,67.45,153.68,14.77,89,100,3.58,RU,1603825113
Petropavlovsk-Kamchatskiy,53.05,158.65,30.2,100,74,4.47,RU,1603824968
Kirensk,57.79,108.11,24.58,97,100,2.37,RU,1603825367
Obo,5.4,26.49,69.73,94,100,5.41,CF,1603825370
Jasper,37.2,-94.35,35.01,99,90,9.17,US,1603825307
Areia Branca,-4.96,-37.14,93.2,44,20,16.11,BR,1603824959
Mungaoli,24.42,78.1,72.1,35,0,5.12,IN,1603825379
Nizhnyaya Tavda,57.67,66.17,21.34,96,92,12.17,RU,1603825382
Marfino,55.7,37.38,45.0,81,0,6.71,RU,1603825385
Wajima,37.4,136.9,59.07,49,97,2.46,JP,1603825389
Lagos,6.58,3.75,77.4,90,32,5.23,NG,1603825392
Northam,51.03,-4.22,55.99,78,0,15.99,GB,1603825395
Buin,-33.73,-70.75,64.99,47,90,4.7,CL,1603825398
Lerwick,60.15,-1.15,50.0,71,75,10.29,GB,1603825128
Grand-Lahou,5.14,-5.02,78.85,85,94,8.16,CI,1603825404
Krasnosel'kup,65.7,82.47,-1.07,88,0,12.8,RU,1603825082
Acapulco de Juárez,16.86,-99.89,84.2,79,90,5.39,MX,1603824849
São João da Barra,-21.64,-41.05,86.0,58,20,13.87,BR,1603824911
Owando,-0.48,15.9,73.92,94,100,1.05,CG,1603825416
Kazanka,47.85,32.82,48.2,76,0,4.47,UA,1603825420
Ekhabi,53.51,142.97,35.94,87,95,2.98,RU,1603825423
Pekan Nenas,1.51,103.51,80.01,94,20,2.73,MY,1603825426
Smithers,54.78,-127.17,35.6,100,75,4.7,CA,1603824967
Kidal,18.44,1.41,85.05,13,0,10.58,ML,1603824962
Playas,-2.63,-80.38,74.34,75,48,13.44,EC,1603825435
New Philadelphia,40.49,-81.45,50.0,81,90,1.12,US,1603825438
Ilulissat,69.22,-51.1,19.4,67,75,2.24,GL,1603824944
Tonekābon,36.82,50.87,66.2,88,75,2.24,IR,1603825221
Leningradskiy,69.38,178.42,18.1,90,0,19.22,RU,1603824947
Cruzeiro do Sul,-29.51,-51.99,70.0,84,30,1.01,BR,1603825451
Fochabers,57.61,-3.1,46.99,93,90,3.36,GB,1603825454
Khāsh,28.22,61.22,49.23,39,0,3.15,IR,1603825457
Atbasar,51.8,68.33,28.62,93,97,22.64,KZ,1603825460
Ipixuna,-1.76,-48.8,84.2,79,40,10.29,BR,1603825463
Sassandra,4.95,-6.08,77.79,86,13,5.88,CI,1603825466
Tolaga Bay,-38.37,178.3,53.51,87,100,8.41,NZ,1603825470
Sydney,-33.87,151.21,57.2,87,75,8.05,AU,1603825473
Klyuchi,52.27,79.17,35.17,79,19,19.1,RU,1603825476
San Jose,37.34,-121.89,73.99,19,0,3.22,US,1603825407
Kaitangata,-46.28,169.85,42.8,89,12,2.13,NZ,1603824772
Ukiah,39.15,-123.21,75.99,25,1,3.36,US,1603825068
Clyde River,70.47,-68.59,14.0,61,75,6.93,CA,1603824933
